#tstp   Ax    Ay
878  -1.49515  -1.49515
879  -1.47763  -1.47763
880  -1.4601  -1.4601
881  -1.44256  -1.44256
882  -1.42503  -1.42503
883  -1.4075  -1.4075
884  -1.38997  -1.38997
885  -1.37246  -1.37246
886  -1.35496  -1.35496
887  -1.33749  -1.33749
888  -1.32004  -1.32004
889  -1.30261  -1.30261
890  -1.28522  -1.28522
891  -1.26787  -1.26787
892  -1.25055  -1.25055
893  -1.23328  -1.23328
894  -1.21605  -1.21605
895  -1.19887  -1.19887
896  -1.18175  -1.18175
897  -1.16468  -1.16468
898  -1.14768  -1.14768
899  -1.13074  -1.13074
900  -1.11386  -1.11386
901  -1.09706  -1.09706
902  -1.08033  -1.08033
903  -1.06368  -1.06368
904  -1.0471  -1.0471
905  -1.03061  -1.03061
906  -1.0142  -1.0142
907  -0.997883  -0.997883
908  -0.981654  -0.981654
909  -0.965519  -0.965519
910  -0.949479  -0.949479
911  -0.933537  -0.933537
912  -0.917696  -0.917696
913  -0.901958  -0.901958
914  -0.886326  -0.886326
915  -0.870801  -0.870801
916  -0.855385  -0.855385
917  -0.840082  -0.840082
918  -0.824892  -0.824892
919  -0.809818  -0.809818
920  -0.794862  -0.794862
921  -0.780026  -0.780026
922  -0.765311  -0.765311
923  -0.750718  -0.750718
924  -0.736251  -0.736251
925  -0.72191  -0.72191
926  -0.707696  -0.707696
927  -0.693612  -0.693612
928  -0.679658  -0.679658
929  -0.665837  -0.665837
930  -0.652148  -0.652148
931  -0.638594  -0.638594
932  -0.625175  -0.625175
933  -0.611893  -0.611893
934  -0.598748  -0.598748
935  -0.585743  -0.585743
936  -0.572876  -0.572876
937  -0.56015  -0.56015
938  -0.547565  -0.547565
939  -0.535121  -0.535121
940  -0.52282  -0.52282
941  -0.510662  -0.510662
942  -0.498648  -0.498648
943  -0.486778  -0.486778
944  -0.475052  -0.475052
945  -0.463472  -0.463472
946  -0.452036  -0.452036
947  -0.440746  -0.440746
948  -0.429602  -0.429602
949  -0.418604  -0.418604
950  -0.407753  -0.407753
951  -0.397047  -0.397047
952  -0.386488  -0.386488
953  -0.376075  -0.376075
954  -0.365808  -0.365808
955  -0.355687  -0.355687
956  -0.345712  -0.345712
957  -0.335883  -0.335883
958  -0.326199  -0.326199
959  -0.316661  -0.316661
960  -0.307268  -0.307268
961  -0.298019  -0.298019
962  -0.288914  -0.288914
963  -0.279953  -0.279953
964  -0.271136  -0.271136
965  -0.262461  -0.262461
966  -0.253928  -0.253928
967  -0.245537  -0.245537
968  -0.237287  -0.237287
969  -0.229178  -0.229178
970  -0.221208  -0.221208
971  -0.213377  -0.213377
972  -0.205684  -0.205684
973  -0.198129  -0.198129
974  -0.19071  -0.19071
975  -0.183427  -0.183427
976  -0.176279  -0.176279
977  -0.169265  -0.169265
978  -0.162384  -0.162384
979  -0.155635  -0.155635
